year,model,city08,highway08,comb08,trim
2021,GR Supra,22,30,25,Supra
2021,Corolla,30,38,33,
2021,Corolla,29,39,33,
2021,Corolla XLE,29,37,32,XLE
2021,Corolla Hybrid,53,52,52,Hybrid
2021,Corolla,31,40,34,
2021,Corolla,29,36,32,
2021,Corolla XSE,31,38,34,XSE
2021,Corolla Hatchback,28,37,31,Hatchback
2021,Corolla Hatchback,32,41,35,Hatchback
2021,Corolla Hatchback XSE,30,38,33,Hatchback XSE
2021,RAV4 Prime 4WD,40,36,38,Prime 4WD
2021,Prius,54,50,52,
2021,Prius AWD,51,47,49,AWD
2021,Prius Eco,58,53,56,Eco
2021,Prius Prime,55,53,54,Prime
2021,Venza AWD,40,37,39,AWD
2021,Avalon XLE,22,32,26,XLE
2021,Avalon,22,31,25,
2021,Avalon Hybrid,43,43,43,Hybrid
2021,Avalon Hybrid XLE,43,44,44,Hybrid XLE
2021,Avalon AWD,25,34,28,AWD
2021,Avalon TRD,21,30,25,TRD
2021,RAV4,27,35,30,
2021,RAV4,28,35,30,
2021,RAV4 AWD,27,33,29,AWD
2021,RAV4 AWD,25,33,28,AWD
2021,RAV4 AWD TRD OFFROAD,25,32,28,AWD TRD OFFROAD
2021,RAV4 AWD LE,27,34,30,AWD LE
2021,RAV4 Hybrid  AWD,41,38,40,Hybrid  AWD
2021,4Runner 2WD,16,19,17,2WD
2021,4Runner 4WD,16,19,17,4WD
2021,4Runner 4WD,16,19,17,4WD
2021,GR Supra,25,32,28,Supra
2021,C-HR,27,31,29,
2021,Tundra 2WD,13,17,15,2WD
2021,Tundra 4WD,13,17,14,4WD
2021,Land Cruiser Wagon 4WD,13,17,14,Cruiser Wagon 4WD
2021,Tacoma 2WD,19,24,21,2WD
2021,Tacoma 2WD,20,23,21,2WD
2021,Tacoma 4WD,18,22,20,4WD
2021,Tacoma 4WD,17,21,18,4WD
2021,Tacoma 4WD D-CAB MT TRD-ORP/PRO,17,20,18,4WD D-CAB MT TRD-ORP/PRO
2021,Tacoma 4WD,19,22,20,4WD
2021,Highlander,20,28,23,
2021,Highlander,21,29,24,
2021,Highlander Hybrid,36,35,36,Hybrid
2021,Highlander AWD,20,27,23,AWD
2021,Highlander Hybrid AWD,35,35,35,Hybrid AWD
2021,Highlander Hybrid AWD LTD/PLAT,35,34,35,Hybrid AWD LTD/PLAT
2021,Sequoia 2WD,13,17,15,2WD
2021,Sequoia 4WD,13,17,14,4WD
2021,Corolla APEX,31,38,34,APEX
2021,Corolla APEX,28,36,31,APEX
2021,Camry,22,33,26,
2021,Camry TRD,22,31,25,TRD
2021,Camry XSE,22,32,26,XSE
2021,Camry LE/SE,28,39,32,LE/SE
2021,Camry XLE/XSE,27,38,31,XLE/XSE
2021,Camry Hybrid LE,51,53,52,Hybrid LE
2021,Camry Hybrid SE/XLE/XSE,44,47,46,Hybrid SE/XLE/XSE
2021,Camry AWD LE/SE,25,34,29,AWD LE/SE
2021,Camry AWD XLE/XSE,25,34,28,AWD XLE/XSE
2021,Sienna Hybrid 2WD,36,36,36,Hybrid 2WD
